iter	Passed	Remaining
640	2059	1153
641	2062	1150
642	2066	1147
643	2069	1143
644	2072	1140
645	2075	1137
646	2079	1134
647	2081	1130
648	2084	1127
649	2088	1124
650	2090	1120
651	2093	1117
652	2096	1114
653	2099	1110
654	2103	1107
655	2106	1104
656	2109	1101
657	2112	1097
658	2115	1094
659	2118	1091
660	2122	1088
661	2125	1085
662	2128	1081
663	2131	1078
664	2134	1075
665	2137	1072
666	2141	1068
667	2145	1066
668	2148	1062
669	2151	1059
670	2154	1056
671	2157	1052
672	2160	1049
673	2164	1046
674	2167	1043
675	2170	1040
676	2173	1037
677	2176	1033
678	2179	1030
679	2183	1027
680	2187	1024
681	2191	1021
682	2194	1018
683	2197	1015
684	2200	1011
685	2203	1008
686	2206	1005
687	2209	1002
688	2213	999
689	2216	995
690	2219	992
691	2222	989
692	2225	985
693	2228	982
694	2231	979
695	2234	976
696	2237	972
697	2240	969
698	2243	966
699	2247	963
700	2250	959
701	2253	956
702	2256	953
703	2259	950
704	2262	946
705	2265	943
706	2268	940
707	2272	937
708	2276	934
709	2279	931
710	2283	928
711	2286	925
712	2289	921
713	2293	918
714	2296	915
715	2299	912
716	2302	908
717	2305	905
718	2308	902
719	2311	898
720	2314	895
721	2317	892
722	2320	889
723	2323	885
724	2326	882
725	2330	879
726	2333	876
727	2335	872
728	2338	869
729	2341	866
730	2344	862
731	2348	859
732	2351	856
733	2354	853
734	2357	849
735	2360	846
736	2363	843
737	2366	840
738	2370	837
739	2373	833
740	2376	830
741	2379	827
742	2382	824
743	2386	821
744	2389	817
745	2392	814
746	2395	811
747	2398	808
748	2401	804
749	2404	801
750	2407	798
751	2410	794
752	2413	791
753	2416	788
754	2419	785
755	2422	781
756	2425	778
757	2428	775
758	2432	772
759	2435	769
760	2438	765
761	2441	762
762	2444	759
763	2447	756
764	2450	752
765	2454	749
766	2457	746
767	2460	743
768	2463	740
769	2466	736
770	2469	733
771	2472	730
772	2475	727
773	2478	723
774	2482	720
775	2485	717
776	2488	714
777	2491	711
778	2494	707
779	2498	704
780	2501	701
781	2505	698
782	2508	695
783	2511	691
784	2514	688
785	2517	685
786	2520	682
787	2523	679
788	2527	675
789	2530	672
790	2533	669
791	2536	666
792	2539	663
793	2544	660
794	2547	656
795	2550	653
796	2553	650
797	2556	647
798	2559	643
799	2563	640
800	2566	637
801	2569	634
802	2572	631
803	2575	627
804	2578	624
805	2582	621
806	2585	618
807	2587	614
808	2591	611
809	2594	608
810	2597	605
811	2600	602
812	2604	599
813	2607	595
814	2610	592
815	2613	589
816	2616	586
817	2619	582
818	2622	579
819	2626	576
820	2629	573
821	2632	570
822	2635	566
823	2638	563
824	2641	560
825	2644	557
826	2648	553
827	2651	550
828	2654	547
829	2657	544
830	2660	541
831	2663	537
832	2666	534
833	2669	531
834	2672	528
835	2676	524
836	2679	521
837	2682	518
838	2685	515
839	2688	512
840	2691	508
841	2694	505
842	2697	502
843	2701	499
844	2704	496
845	2707	492
846	2710	489
847	2713	486
848	2716	483
